geography,year,topic,category,sub_category,value_description,value
Kensington,2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,152.0
Melbourne (CBD),2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,746.0
Melbourne (CBD),2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,0.0
Melbourne (CBD),2011,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
Melbourne (CBD),2011,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,0.0
Melbourne (CBD),2011,Households: Dwellings,Dwelling type - detailed,Dwelling structure not stated,Count of occupied private dwellings,3.0
City of Melbourne,2011,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,2024.0
City of Melbourne,2011,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Caravan, cabin or houseboat",Count of occupied private dwellings,6.0
City of Melbourne,2011,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
North Melbourne,2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,891.0
North Melbourne,2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,7.0
North Melbourne,2011,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
North Melbourne,2011,Households: Dwellings,Dwelling type - detailed,Dwelling structure not stated,Count of occupied private dwellings,4.0
Parkville,2011,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. - One storey",Count of occupied private dwellings,133.0
Parkville,2011,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. - Two or more storeys",Count of occupied private dwellings,383.0
Parkville,2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a four or more storey block,Count of occupied private dwellings,395.0
Parkville,2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,0.0
Parkville,2011,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Caravan, cabin or houseboat",Count of occupied private dwellings,0.0
Parkville,2011,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,0.0
South Yarra (inc. Melbourne Remainder),2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,3.0
South Yarra (inc. Melbourne Remainder),2011,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Caravan, cabin or houseboat",Count of occupied private dwellings,0.0
Southbank,2011,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,0.0
Southbank,2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,16.0
Southbank,2011,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,279.0
Southbank,2011,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,0.0
Southbank,2011,Households: Dwellings,Dwelling type - detailed,Dwelling structure not stated,Count of occupied private dwellings,0.0
Carlton,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - One storey",Count of occupied private dwellings,443.0
Carlton,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - Two or more storeys",Count of occupied private dwellings,738.0
Carlton,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,0.0
Carlton,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Cabin, houseboat",Count of occupied private dwellings,0.0
Carlton,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
Carlton,2016,Households: Dwellings,Dwelling type - detailed,Dwelling structure not stated,Count of occupied private dwellings,42.0
Docklands,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - One storey",Count of occupied private dwellings,0.0
Docklands,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - Two or more storeys",Count of occupied private dwellings,102.0
Docklands,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,0.0
Docklands,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - Caravan,Count of occupied private dwellings,0.0
Docklands,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Cabin, houseboat",Count of occupied private dwellings,5.0
Docklands,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,0.0
East Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - One storey",Count of occupied private dwellings,101.0
East Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,152.0
East Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,649.0
East Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a four or more storey block,Count of occupied private dwellings,741.0
East Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Cabin, houseboat",Count of occupied private dwellings,0.0
East Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
Greater Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,1067637.0
Greater Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,88688.0
Greater Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,49149.0
Greater Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a four or more storey block,Count of occupied private dwellings,93124.0
Greater Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - Caravan,Count of occupied private dwellings,791.0
Greater Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,3764.0
Kensington,2016,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,626.0
Kensington,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - Two or more storeys",Count of occupied private dwellings,1592.0
Kensington,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,339.0
Kensington,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
Melbourne (CBD),2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - One storey",Count of occupied private dwellings,0.0
Melbourne (CBD),2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,4.0
Melbourne (CBD),2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Cabin, houseboat",Count of occupied private dwellings,0.0
Melbourne (CBD),2016,Households: Dwellings,Dwelling type - detailed,Dwelling structure not stated,Count of occupied private dwellings,208.0
City of Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,1657.0
City of Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - One storey",Count of occupied private dwellings,2377.0
City of Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - Two or more storeys",Count of occupied private dwellings,4875.0
City of Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,4800.0
City of Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Cabin, houseboat",Count of occupied private dwellings,4.0
City of Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,52.0
City of Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,97.0
North Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,355.0
North Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - Two or more storeys",Count of occupied private dwellings,994.0
North Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - Attached to a house,Count of occupied private dwellings,0.0
North Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - Caravan,Count of occupied private dwellings,0.0
North Melbourne,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
North Melbourne,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,27.0
Parkville,2016,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,102.0
Parkville,2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - Two or more storeys",Count of occupied private dwellings,503.0
Parkville,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,238.0
Parkville,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,305.0
Parkville,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a four or more storey block,Count of occupied private dwellings,707.0
Parkville,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,5.0
Parkville,2016,Households: Dwellings,Dwelling type - detailed,Dwelling structure not stated,Count of occupied private dwellings,15.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,Separate house,Count of occupied private dwellings,185.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,"Semi-detached, row or terrace house, townhouse etc. with - Two or more storeys",Count of occupied private dwellings,210.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,293.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,980.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - Caravan,Count of occupied private dwellings,0.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - House or flat attached to a shop office etc.,Count of occupied private dwellings,3.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Dwelling type - detailed,Dwelling structure not stated,Count of occupied private dwellings,7.0
Southbank,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a one or two storey block,Count of occupied private dwellings,22.0
Southbank,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a three storey block,Count of occupied private dwellings,266.0
Southbank,2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a four or more storey block,Count of occupied private dwellings,7780.0
Southbank,2016,Households: Dwellings,Dwelling type - detailed,Other dwelling - Caravan,Count of occupied private dwellings,0.0
Southbank,2016,Households: Dwellings,Dwelling type - detailed,"Other dwelling - Improvised home, tent, sleepers out",Count of occupied private dwellings,0.0
West Melbourne (Residential),2016,Households: Dwellings,Dwelling type - detailed,Flat or apartment - In a four or more storey block,Count of occupied private dwellings,1116.0
Carlton,2011,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,720.0
Docklands,2011,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,9.0
Docklands,2011,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,42.0
East Melbourne,2011,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,426.0
East Melbourne,2011,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,1185.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,526100.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,389643.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,10522.0
Kensington,2011,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,96.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,1299.0
City of Melbourne,2011,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,185.0
City of Melbourne,2011,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,804.0
Parkville,2011,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,290.0
Parkville,2011,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,12.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,733.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,1547.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,6.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,56.0
Southbank,2011,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,838.0
West Melbourne (Residential),2011,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,27.0
Carlton,2016,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,292.0
Docklands,2016,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,999.0
Docklands,2016,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,26.0
East Melbourne,2016,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,528.0
East Melbourne,2016,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,12.0
East Melbourne,2016,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,22.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,567574.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,472462.0
Kensington,2016,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,716.0
Kensington,2016,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,2344.0
Kensington,2016,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,12.0
Melbourne (CBD),2016,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,2183.0
City of Melbourne,2016,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,9316.0
City of Melbourne,2016,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,37592.0
City of Melbourne,2016,Households: Income and housing,Housing tenure,Tenure type not stated,Count of occupied private dwellings,1679.0
North Melbourne,2016,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,4092.0
Southbank,2016,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,5233.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,256.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,772.0
Docklands,2011,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,327.0
Docklands,2011,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,542.0
Docklands,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,172.0
East Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,945.0
East Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,6.0
East Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,43.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,254668.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,36789.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,76182.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,5688.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,9167.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,36877.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,1243.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,304.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,16.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,1299.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,4875.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,61.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,70.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,167.0
City of Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,7610.0
City of Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,2252.0
City of Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,3813.0
City of Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,453.0
City of Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,185.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,450.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,32.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,19.0
Parkville,2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,29.0
Parkville,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,161.0
Parkville,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,33.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,0.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,275.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,41.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,56.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,6.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,46.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,75.0
West Melbourne (Residential),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,591.0
West Melbourne (Residential),2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,35.0
West Melbourne (Residential),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,147.0
West Melbourne (Residential),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,16.0
West Melbourne (Residential),2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,0.0
West Melbourne (Residential),2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,27.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,823.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,662.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,3879.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,61.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,61.0
Docklands,2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,50.0
Docklands,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,30.0
Docklands,2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,123.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,903.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,4.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,6.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,6.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,12.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,22.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,9577.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,716.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,16.0
Melbourne (CBD),2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,2013.0
Melbourne (CBD),2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,2183.0
City of Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,7986.0
City of Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,9316.0
City of Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,802.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,933.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,2532.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,63.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,31.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,179.0
Parkville,2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,369.0
Parkville,2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,285.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,428.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,0.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,96.0
Southbank,2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,0.0
Southbank,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,3.0
Southbank,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,39.0
Southbank,2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,153.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,5.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,6.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,64.0
Carlton,2011,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,489.0
Carlton,2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,219.0
Docklands,2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,20.0
Docklands,2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,40.0
East Melbourne,2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,34.0
Kensington,2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,45.0
Melbourne (CBD),2011,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,6246.0
Melbourne (CBD),2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,218.0
City of Melbourne,2011,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,16020.0
North Melbourne,2011,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,755.0
North Melbourne,2011,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,109.0
Parkville,2011,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,339.0
Parkville,2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,33.0
South Yarra (inc. Melbourne Remainder),2011,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,1419.0
South Yarra (inc. Melbourne Remainder),2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,29.0
South Yarra (inc. Melbourne Remainder),2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,62.0
Southbank,2011,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,1377.0
West Melbourne (Residential),2011,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,237.0
