Age,Gender,Geography,Year,Value
Age 60-64,Female,West Melbourne (Residential),2022,78
Age 60-64,Female,West Melbourne (Residential),2025,79
Age 60-64,Female,West Melbourne (Residential),2026,84
Age 60-64,Female,West Melbourne (Residential),2031,92
Age 60-64,Female,West Melbourne (Residential),2036,104
Age 60-64,Female,West Melbourne (Residential),2037,109
Age 60-64,Male,West Melbourne (Residential),2024,59
Age 60-64,Male,West Melbourne (Residential),2025,58
Age 60-64,Male,West Melbourne (Residential),2026,65
Age 60-64,Male,West Melbourne (Residential),2028,66
Age 60-64,Male,West Melbourne (Residential),2038,86
Age 60-64,Male,West Melbourne (Residential),2039,86
Age 60-64,Male,West Melbourne (Residential),2041,96
Age 65-69,Female,West Melbourne (Residential),2021,71
Age 65-69,Female,West Melbourne (Residential),2027,80
Age 65-69,Female,West Melbourne (Residential),2028,79
Age 65-69,Female,West Melbourne (Residential),2032,83
Age 65-69,Female,West Melbourne (Residential),2033,83
Age 65-69,Female,West Melbourne (Residential),2039,83
Age 65-69,Female,West Melbourne (Residential),2040,82
Age 65-69,Male,West Melbourne (Residential),2024,25
Age 65-69,Male,West Melbourne (Residential),2031,31
Age 65-69,Male,West Melbourne (Residential),2038,30
Age 65-69,Male,West Melbourne (Residential),2039,31
Age 65-69,Male,West Melbourne (Residential),2041,32
Age 70-74,Female,West Melbourne (Residential),2024,31
Age 70-74,Female,West Melbourne (Residential),2026,38
Age 70-74,Female,West Melbourne (Residential),2028,39
Age 70-74,Female,West Melbourne (Residential),2035,37
Age 70-74,Female,West Melbourne (Residential),2039,34
Age 70-74,Female,West Melbourne (Residential),2040,34
Age 70-74,Male,West Melbourne (Residential),2029,77
Age 70-74,Male,West Melbourne (Residential),2032,79
Age 70-74,Male,West Melbourne (Residential),2037,82
Age 70-74,Male,West Melbourne (Residential),2039,74
Age 70-74,Male,West Melbourne (Residential),2041,67
Age 75-79,Female,West Melbourne (Residential),2022,5
Age 75-79,Female,West Melbourne (Residential),2028,20
Age 75-79,Female,West Melbourne (Residential),2030,20
Age 75-79,Female,West Melbourne (Residential),2034,21
Age 75-79,Female,West Melbourne (Residential),2035,21
Age 75-79,Female,West Melbourne (Residential),2037,19
Age 75-79,Male,West Melbourne (Residential),2021,14
Age 75-79,Male,West Melbourne (Residential),2022,20
Age 75-79,Male,West Melbourne (Residential),2024,30
Age 75-79,Male,West Melbourne (Residential),2026,46
Age 75-79,Male,West Melbourne (Residential),2028,55
Age 75-79,Male,West Melbourne (Residential),2033,62
Age 75-79,Male,West Melbourne (Residential),2034,61
Age 75-79,Male,West Melbourne (Residential),2039,48
Age 80-84,Female,West Melbourne (Residential),2024,2
Age 80-84,Female,West Melbourne (Residential),2026,5
Age 80-84,Female,West Melbourne (Residential),2027,6
Age 80-84,Female,West Melbourne (Residential),2029,9
Age 80-84,Female,West Melbourne (Residential),2030,14
Age 80-84,Female,West Melbourne (Residential),2033,19
Age 80-84,Female,West Melbourne (Residential),2035,16
Age 80-84,Female,West Melbourne (Residential),2036,14
Age 80-84,Female,West Melbourne (Residential),2039,12
Age 80-84,Female,West Melbourne (Residential),2041,11
Age 80-84,Male,West Melbourne (Residential),2022,0
Age 80-84,Male,West Melbourne (Residential),2028,4
Age 80-84,Male,West Melbourne (Residential),2029,5
Age 80-84,Male,West Melbourne (Residential),2030,6
Age 80-84,Male,West Melbourne (Residential),2034,8
Age 80-84,Male,West Melbourne (Residential),2037,6
Age 80-84,Male,West Melbourne (Residential),2039,5
Age 80-84,Male,West Melbourne (Residential),2040,5
Age 85+,Female,West Melbourne (Residential),2024,4
Age 85+,Female,West Melbourne (Residential),2026,5
Age 85+,Female,West Melbourne (Residential),2027,6
Age 85+,Female,West Melbourne (Residential),2028,6
Age 85+,Female,West Melbourne (Residential),2032,10
Age 85+,Female,West Melbourne (Residential),2034,12
Age 85+,Female,West Melbourne (Residential),2039,15
Age 85+,Male,West Melbourne (Residential),2024,2
Age 85+,Male,West Melbourne (Residential),2025,2
Age 85+,Male,West Melbourne (Residential),2027,3
Age 85+,Male,West Melbourne (Residential),2031,5
Age 85+,Male,West Melbourne (Residential),2038,8
Age 85+,Male,West Melbourne (Residential),2041,8
Age 5-9,Total,City of Melbourne,2021,2856
Age 40-44,Total,City of Melbourne,2021,7110
Age 70-74,Total,City of Melbourne,2021,3004
Age 35-39,Total,City of Melbourne,2022,13836
Age 40-44,Total,City of Melbourne,2022,7830
Age 55-59,Total,City of Melbourne,2022,4858
Age 60-64,Total,City of Melbourne,2022,4325
Age 70-74,Total,City of Melbourne,2022,3253
Age 75-79,Total,City of Melbourne,2022,1296
Age 85+,Total,City of Melbourne,2022,512
Age 30-34,Total,City of Melbourne,2023,24420
Age 50-54,Total,City of Melbourne,2023,5181
Age 65-69,Total,City of Melbourne,2023,3849
Age 70-74,Total,City of Melbourne,2023,3448
Age 0-4,Total,City of Melbourne,2024,5874
Age 10-14,Total,City of Melbourne,2024,2039
Age 40-44,Total,City of Melbourne,2024,9829
Age 50-54,Total,City of Melbourne,2024,5401
Age 75-79,Total,City of Melbourne,2024,1967
Age 85+,Total,City of Melbourne,2024,583
Age 0-4,Total,City of Melbourne,2025,6682
Age 20-24,Total,City of Melbourne,2025,31195
Age 40-44,Total,City of Melbourne,2025,11383
Age 65-69,Total,City of Melbourne,2025,4047
Age 70-74,Total,City of Melbourne,2025,3573
Age 75-79,Total,City of Melbourne,2025,2421
Age 0-4,Total,City of Melbourne,2026,7495
Age 10-14,Total,City of Melbourne,2026,2097
Age 25-29,Total,City of Melbourne,2026,36198
Age 30-34,Total,City of Melbourne,2026,31009
Age 45-49,Total,City of Melbourne,2026,7918
Age 50-54,Total,City of Melbourne,2026,6121
Age 70-74,Total,City of Melbourne,2026,3667
Age 75-79,Total,City of Melbourne,2026,2889
Age 0-4,Total,City of Melbourne,2027,8032
Age 15-19,Total,City of Melbourne,2027,10745
Age 65-69,Total,City of Melbourne,2027,4116
Age 70-74,Total,City of Melbourne,2027,3691
Age 75-79,Total,City of Melbourne,2027,3115
Age 80-84,Total,City of Melbourne,2027,1257
Age 85+,Total,City of Melbourne,2027,730
Age 5-9,Total,City of Melbourne,2028,4492
Age 10-14,Total,City of Melbourne,2028,2002
Age 15-19,Total,City of Melbourne,2028,10838
Age 50-54,Total,City of Melbourne,2028,6938
Age 65-69,Total,City of Melbourne,2028,4136
Age 75-79,Total,City of Melbourne,2028,3291
Age 85+,Total,City of Melbourne,2028,786
Age 5-9,Total,City of Melbourne,2029,5175
Age 15-19,Total,City of Melbourne,2029,10893
Age 20-24,Total,City of Melbourne,2029,38794
Age 25-29,Total,City of Melbourne,2029,40179
Age 30-34,Total,City of Melbourne,2029,31419
Age 55-59,Total,City of Melbourne,2029,5787
Age 70-74,Total,City of Melbourne,2029,3920
Age 75-79,Total,City of Melbourne,2029,3345
Age 5-9,Total,City of Melbourne,2030,5879
Age 10-14,Total,City of Melbourne,2030,2113
Age 15-19,Total,City of Melbourne,2030,10920
Age 25-29,Total,City of Melbourne,2030,40334
Age 40-44,Total,City of Melbourne,2030,18763
Age 60-64,Total,City of Melbourne,2030,4772
Age 70-74,Total,City of Melbourne,2030,3982
Age 85+,Total,City of Melbourne,2030,922
Age 0-4,Total,City of Melbourne,2031,9872
Age 5-9,Total,City of Melbourne,2031,6575
Age 25-29,Total,City of Melbourne,2031,39914
Age 40-44,Total,City of Melbourne,2031,19995
Age 50-54,Total,City of Melbourne,2031,8377
Age 65-69,Total,City of Melbourne,2031,4257
Age 75-79,Total,City of Melbourne,2031,3457
Age 0-4,Total,City of Melbourne,2032,10278
Age 15-19,Total,City of Melbourne,2032,11011
Age 30-34,Total,City of Melbourne,2032,34840
Age 35-39,Total,City of Melbourne,2032,28151
Age 50-54,Total,City of Melbourne,2032,9121
Age 60-64,Total,City of Melbourne,2032,4836
Age 75-79,Total,City of Melbourne,2032,3469
Age 0-4,Total,City of Melbourne,2033,10634
Age 10-14,Total,City of Melbourne,2033,3504
Age 25-29,Total,City of Melbourne,2033,42835
Age 50-54,Total,City of Melbourne,2033,10050
Age 55-59,Total,City of Melbourne,2033,7065
Age 70-74,Total,City of Melbourne,2033,4033
Age 75-79,Total,City of Melbourne,2033,3574
Age 85+,Total,City of Melbourne,2033,1366
Age 55-59,Total,City of Melbourne,2034,7484
Age 65-69,Total,City of Melbourne,2034,4361
Age 75-79,Total,City of Melbourne,2034,3656
Age 5-9,Total,City of Melbourne,2035,8137
Age 35-39,Total,City of Melbourne,2035,27734
Age 45-49,Total,City of Melbourne,2035,19212
Age 60-64,Total,City of Melbourne,2035,5364
Age 70-74,Total,City of Melbourne,2035,3983
Age 85+,Total,City of Melbourne,2035,1837
Age 5-9,Total,City of Melbourne,2036,8490
Age 25-29,Total,City of Melbourne,2036,45113
Age 45-49,Total,City of Melbourne,2036,20383
Age 60-64,Total,City of Melbourne,2036,5650
Age 65-69,Total,City of Melbourne,2036,4370
Age 0-4,Total,City of Melbourne,2037,11510
Age 5-9,Total,City of Melbourne,2037,8821
Age 20-24,Total,City of Melbourne,2037,41100
Age 25-29,Total,City of Melbourne,2037,44619
Age 30-34,Total,City of Melbourne,2037,34186
Age 35-39,Total,City of Melbourne,2037,29987
Age 45-49,Total,City of Melbourne,2037,21857
Age 55-59,Total,City of Melbourne,2037,9052
Age 65-69,Total,City of Melbourne,2037,4412
Age 75-79,Total,City of Melbourne,2037,3732
Age 85+,Total,City of Melbourne,2037,2273
Age 20-24,Total,City of Melbourne,2038,41143
Age 25-29,Total,City of Melbourne,2038,44003
Age 5-9,Total,City of Melbourne,2039,9331
Age 10-14,Total,City of Melbourne,2039,6529
Age 30-34,Total,City of Melbourne,2039,35935
Age 35-39,Total,City of Melbourne,2039,29477
Age 45-49,Total,City of Melbourne,2039,25373
Age 55-59,Total,City of Melbourne,2039,10898
Age 70-74,Total,City of Melbourne,2039,4203
Age 80-84,Total,City of Melbourne,2039,3106
Age 85+,Total,City of Melbourne,2039,2528
Age 5-9,Total,City of Melbourne,2040,9497
Age 20-24,Total,City of Melbourne,2040,41493
Age 40-44,Total,City of Melbourne,2040,26862
Age 55-59,Total,City of Melbourne,2040,12240
Age 70-74,Total,City of Melbourne,2040,4219
Age 75-79,Total,City of Melbourne,2040,3678
Age 80-84,Total,City of Melbourne,2040,3140
Age 0-4,Total,City of Melbourne,2041,12106
Age 10-14,Total,City of Melbourne,2041,7182
Age 50-54,Total,City of Melbourne,2041,20272
Age 60-64,Total,City of Melbourne,2041,7416
Age 75-79,Total,City of Melbourne,2041,3804
Age 30-34,Total,Carlton,2021,1769
Age 35-39,Total,Carlton,2021,1044
Age 55-59,Total,Carlton,2021,400
Age 60-64,Total,Carlton,2021,348
Age 85+,Total,Carlton,2021,32
Age 5-9,Total,Carlton,2022,355
Age 10-14,Total,Carlton,2022,322
Age 30-34,Total,Carlton,2022,1922
Age 40-44,Total,Carlton,2022,595
Age 45-49,Total,Carlton,2022,525
Age 55-59,Total,Carlton,2022,407
Age 70-74,Total,Carlton,2022,323
Age 20-24,Total,Carlton,2023,5136
Age 50-54,Total,Carlton,2023,501
Age 0-4,Total,Carlton,2024,519
Age 40-44,Total,Carlton,2024,765
Age 50-54,Total,Carlton,2024,528
Age 55-59,Total,Carlton,2024,433
Age 80-84,Total,Carlton,2024,87
Age 5-9,Total,Carlton,2025,383
Age 10-14,Total,Carlton,2025,323
Age 30-34,Total,Carlton,2025,2473
Age 35-39,Total,Carlton,2025,1576
Age 40-44,Total,Carlton,2025,884
Age 70-74,Total,Carlton,2025,367
Age 75-79,Total,Carlton,2025,267
Age 80-84,Total,Carlton,2025,95
Age 35-39,Total,Carlton,2026,1654
Age 45-49,Total,Carlton,2026,669
Age 80-84,Total,Carlton,2026,100
Age 10-14,Total,Carlton,2027,297
Age 45-49,Total,Carlton,2027,736
Age 80-84,Total,Carlton,2027,114
Age 5-9,Total,Carlton,2028,547
Age 10-14,Total,Carlton,2028,282
Age 40-44,Total,Carlton,2028,1164
Age 50-54,Total,Carlton,2028,636
Age 65-69,Total,Carlton,2028,346
Age 0-4,Total,Carlton,2029,765
Age 20-24,Total,Carlton,2029,6512
Age 35-39,Total,Carlton,2029,2122
Age 40-44,Total,Carlton,2029,1289
Age 45-49,Total,Carlton,2029,915
Age 60-64,Total,Carlton,2029,383
Age 15-19,Total,Carlton,2030,2088
Age 65-69,Total,Carlton,2030,342
Age 80-84,Total,Carlton,2030,189
Age 5-9,Total,Carlton,2031,771
Age 15-19,Total,Carlton,2031,2122
Age 20-24,Total,Carlton,2031,7060
Age 25-29,Total,Carlton,2031,4306
Age 30-34,Total,Carlton,2031,2754
Age 35-39,Total,Carlton,2031,2434
Age 50-54,Total,Carlton,2031,781
Age 60-64,Total,Carlton,2031,393
Age 75-79,Total,Carlton,2031,334
Age 80-84,Total,Carlton,2031,232
Age 10-14,Total,Carlton,2032,416
Age 20-24,Total,Carlton,2032,7183
Age 35-39,Total,Carlton,2032,2428
Age 45-49,Total,Carlton,2032,1325
Age 55-59,Total,Carlton,2032,551
Age 60-64,Total,Carlton,2032,401
Age 65-69,Total,Carlton,2032,357
Age 70-74,Total,Carlton,2032,401
Age 5-9,Total,Carlton,2033,864
Age 15-19,Total,Carlton,2033,2208
Age 35-39,Total,Carlton,2033,2414
Age 45-49,Total,Carlton,2033,1456
Age 50-54,Total,Carlton,2033,975
Age 0-4,Total,Carlton,2034,1013
Age 15-19,Total,Carlton,2034,2324
Age 20-24,Total,Carlton,2034,7495
Age 25-29,Total,Carlton,2034,4991
Age 85+,Total,Carlton,2034,117
Age 25-29,Total,Carlton,2035,5230
Age 45-49,Total,Carlton,2035,1920
Age 85+,Total,Carlton,2035,137
Age 10-14,Total,Carlton,2036,733
Age 30-34,Total,Carlton,2036,2968
Age 35-39,Total,Carlton,2036,2718
Age 45-49,Total,Carlton,2036,2102
Age 50-54,Total,Carlton,2036,1572
Age 55-59,Total,Carlton,2036,732
Age 60-64,Total,Carlton,2036,507
Age 40-44,Total,Carlton,2037,2500
Age 50-54,Total,Carlton,2037,1748
Age 55-59,Total,Carlton,2037,793
Age 70-74,Total,Carlton,2037,410
Age 15-19,Total,Carlton,2038,2822
Age 20-24,Total,Carlton,2038,8137
Age 25-29,Total,Carlton,2038,5241
Age 40-44,Total,Carlton,2038,2481
Age 55-59,Total,Carlton,2038,843
Age 85+,Total,Carlton,2038,175
Age 0-4,Total,Carlton,2039,1134
Age 15-19,Total,Carlton,2039,2915
Age 20-24,Total,Carlton,2039,8035
Age 25-29,Total,Carlton,2039,5092
Age 35-39,Total,Carlton,2039,2771
Age 80-84,Total,Carlton,2039,245
Age 25-29,Total,Carlton,2040,5155
Age 30-34,Total,Carlton,2040,3220
Age 35-39,Total,Carlton,2040,2731
Age 40-44,Total,Carlton,2040,2449
Age 55-59,Total,Carlton,2040,1009
Age 75-79,Total,Carlton,2040,301
Age 5-9,Total,Carlton,2041,961
Age 10-14,Total,Carlton,2041,812
Age 20-24,Total,Carlton,2041,8287
Age 25-29,Total,Carlton,2041,5048
Age 50-54,Total,Carlton,2041,2201
Age 0-4,Total,Docklands,2021,669
Age 5-9,Total,Docklands,2021,335
Age 10-14,Total,Docklands,2021,124
Age 25-29,Total,Docklands,2021,3408
Age 35-39,Total,Docklands,2021,1502
Age 75-79,Total,Docklands,2021,59
Age 85+,Total,Docklands,2021,24
Age 0-4,Total,Docklands,2022,757
Age 15-19,Total,Docklands,2022,405
Age 20-24,Total,Docklands,2022,2181
Age 25-29,Total,Docklands,2022,3288
Age 30-34,Total,Docklands,2022,2504
Age 40-44,Total,Docklands,2022,928
Age 50-54,Total,Docklands,2022,842
Age 15-19,Total,Docklands,2023,356
Age 35-39,Total,Docklands,2023,1800
Age 40-44,Total,Docklands,2023,1036
Age 50-54,Total,Docklands,2023,859
Age 75-79,Total,Docklands,2023,91
Age 80-84,Total,Docklands,2023,13
Age 5-9,Total,Docklands,2024,344
Age 15-19,Total,Docklands,2024,441
Age 20-24,Total,Docklands,2024,2000
Age 30-34,Total,Docklands,2024,2903
Age 40-44,Total,Docklands,2024,1179
Age 80-84,Total,Docklands,2024,15
Age 5-9,Total,Docklands,2025,370
Age 60-64,Total,Docklands,2025,623
Age 10-14,Total,Docklands,2026,139
Age 40-44,Total,Docklands,2026,1555
Age 65-69,Total,Docklands,2026,625
Age 80-84,Total,Docklands,2026,39
Age 25-29,Total,Docklands,2027,3701
Age 35-39,Total,Docklands,2027,2528
Age 45-49,Total,Docklands,2027,1142
Age 60-64,Total,Docklands,2027,656
Age 65-69,Total,Docklands,2027,643
Age 85+,Total,Docklands,2027,47
Age 75-79,Total,Docklands,2028,259
Age 15-19,Total,Docklands,2029,615
Age 25-29,Total,Docklands,2029,3827
Age 30-34,Total,Docklands,2029,3342
Age 35-39,Total,Docklands,2029,2973
Age 40-44,Total,Docklands,2029,2060
Age 45-49,Total,Docklands,2029,1417
Age 50-54,Total,Docklands,2029,1229
Age 55-59,Total,Docklands,2029,1000
Age 70-74,Total,Docklands,2029,382
Age 80-84,Total,Docklands,2029,121
Age 5-9,Total,Docklands,2030,751
Age 10-14,Total,Docklands,2030,171
Age 45-49,Total,Docklands,2030,1606
Age 60-64,Total,Docklands,2030,697
Age 85+,Total,Docklands,2030,66
Age 0-4,Total,Docklands,2031,1635
Age 5-9,Total,Docklands,2031,854
Age 10-14,Total,Docklands,2031,185
Age 20-24,Total,Docklands,2031,2546
Age 45-49,Total,Docklands,2031,1799
Age 70-74,Total,Docklands,2031,378
Age 75-79,Total,Docklands,2031,277
Age 5-9,Total,Docklands,2032,910
Age 20-24,Total,Docklands,2032,2514
Age 45-49,Total,Docklands,2032,1964
Age 80-84,Total,Docklands,2032,204
Age 0-4,Total,Docklands,2033,1755
Age 5-9,Total,Docklands,2033,961
Age 15-19,Total,Docklands,2033,577
Age 65-69,Total,Docklands,2033,668
Age 70-74,Total,Docklands,2033,388
Age 5-9,Total,Docklands,2034,1017
Age 10-14,Total,Docklands,2034,361
Age 25-29,Total,Docklands,2034,3987
Age 40-44,Total,Docklands,2034,2880
Age 45-49,Total,Docklands,2034,2294
Age 50-54,Total,Docklands,2034,1775
Age 60-64,Total,Docklands,2034,748
Age 75-79,Total,Docklands,2034,309
Age 80-84,Total,Docklands,2034,239
Age 40-44,Total,Docklands,2035,3050
Age 45-49,Total,Docklands,2035,2433
Age 50-54,Total,Docklands,2035,1974
Age 55-59,Total,Docklands,2035,1333
Age 60-64,Total,Docklands,2035,771
Age 80-84,Total,Docklands,2035,251
Age 85+,Total,Docklands,2035,145
Age 5-9,Total,Docklands,2036,1115
Age 25-29,Total,Docklands,2036,3966
Age 30-34,Total,Docklands,2036,3343
Age 50-54,Total,Docklands,2036,2186
Age 55-59,Total,Docklands,2036,1398
Age 65-69,Total,Docklands,2036,666
Age 70-74,Total,Docklands,2036,401
Age 75-79,Total,Docklands,2036,313
Age 10-14,Total,Docklands,2037,523
Age 30-34,Total,Docklands,2037,3400
Age 75-79,Total,Docklands,2037,328
Age 0-4,Total,Docklands,2038,1861
Age 5-9,Total,Docklands,2038,1193
Age 15-19,Total,Docklands,2038,647
Age 25-29,Total,Docklands,2038,3830
Age 45-49,Total,Docklands,2038,2943
Age 55-59,Total,Docklands,2038,1637
Age 65-69,Total,Docklands,2038,678
Age 70-74,Total,Docklands,2038,392
Age 85+,Total,Docklands,2038,201
Age 0-4,Total,Docklands,2039,1897
Age 20-24,Total,Docklands,2039,2314
Age 70-74,Total,Docklands,2039,408
Age 75-79,Total,Docklands,2039,330
Age 80-84,Total,Docklands,2039,290
Age 85+,Total,Docklands,2039,214
Age 10-14,Total,Docklands,2040,636
Age 35-39,Total,Docklands,2040,3192
Age 65-69,Total,Docklands,2040,719
Age 70-74,Total,Docklands,2040,393
Age 75-79,Total,Docklands,2040,320
Age 80-84,Total,Docklands,2040,295
Age 40-44,Total,Docklands,2041,3112
Age 70-74,Total,Docklands,2041,396
Age 85+,Total,Docklands,2041,244
Age 0-4,Total,East Melbourne,2021,102
Age 10-14,Total,East Melbourne,2021,30
Age 40-44,Total,East Melbourne,2021,277
Age 45-49,Total,East Melbourne,2021,266
Age 50-54,Total,East Melbourne,2021,267
Age 65-69,Total,East Melbourne,2021,319
Age 75-79,Total,East Melbourne,2021,72
Age 85+,Total,East Melbourne,2021,42
Age 20-24,Total,East Melbourne,2022,405
Age 30-34,Total,East Melbourne,2022,740
Age 50-54,Total,East Melbourne,2022,268
Age 60-64,Total,East Melbourne,2022,328
Age 75-79,Total,East Melbourne,2022,97
Age 0-4,Total,East Melbourne,2023,126
Age 10-14,Total,East Melbourne,2023,30
Age 25-29,Total,East Melbourne,2023,829
Age 55-59,Total,East Melbourne,2023,281
Age 60-64,Total,East Melbourne,2023,324
Age 70-74,Total,East Melbourne,2023,335
Age 5-9,Total,East Melbourne,2024,45
Age 15-19,Total,East Melbourne,2024,47
Age 30-34,Total,East Melbourne,2024,837
Age 45-49,Total,East Melbourne,2024,308
Age 80-84,Total,East Melbourne,2024,36
Age 5-9,Total,East Melbourne,2025,46
Age 20-24,Total,East Melbourne,2025,382
Age 40-44,Total,East Melbourne,2025,433
Age 45-49,Total,East Melbourne,2025,335
Age 75-79,Total,East Melbourne,2025,177
Age 10-14,Total,East Melbourne,2026,32
Age 20-24,Total,East Melbourne,2026,377
Age 30-34,Total,East Melbourne,2026,974
Age 45-49,Total,East Melbourne,2026,363
Age 50-54,Total,East Melbourne,2026,322
Age 85+,Total,East Melbourne,2026,58
Age 5-9,Total,East Melbourne,2027,55
Age 10-14,Total,East Melbourne,2027,28
Age 15-19,Total,East Melbourne,2027,61
Age 50-54,Total,East Melbourne,2027,350
Age 70-74,Total,East Melbourne,2027,362
Age 5-9,Total,East Melbourne,2028,65
Age 10-14,Total,East Melbourne,2028,30
Age 35-39,Total,East Melbourne,2028,921
Age 70-74,Total,East Melbourne,2028,368
Age 80-84,Total,East Melbourne,2028,68
Age 85+,Total,East Melbourne,2028,66
Age 0-4,Total,East Melbourne,2029,214
Age 10-14,Total,East Melbourne,2029,31
Age 15-19,Total,East Melbourne,2029,58
Age 25-29,Total,East Melbourne,2029,997
Age 35-39,Total,East Melbourne,2029,988
Age 65-69,Total,East Melbourne,2029,347
Age 80-84,Total,East Melbourne,2029,76
Age 5-9,Total,East Melbourne,2030,91
Age 10-14,Total,East Melbourne,2030,30
Age 15-19,Total,East Melbourne,2030,56
Age 30-34,Total,East Melbourne,2030,960
Age 40-44,Total,East Melbourne,2030,678
Age 50-54,Total,East Melbourne,2030,404
Age 60-64,Total,East Melbourne,2030,349
Age 75-79,Total,East Melbourne,2030,222
Age 0-4,Total,East Melbourne,2031,230
Age 5-9,Total,East Melbourne,2031,99
Age 10-14,Total,East Melbourne,2031,35
Age 50-54,Total,East Melbourne,2031,418
Age 55-59,Total,East Melbourne,2031,350
Age 80-84,Total,East Melbourne,2031,104
Age 20-24,Total,East Melbourne,2032,441
Age 25-29,Total,East Melbourne,2032,970
Age 30-34,Total,East Melbourne,2032,1022
Age 55-59,Total,East Melbourne,2032,368
Age 80-84,Total,East Melbourne,2032,107
Age 10-14,Total,East Melbourne,2033,53
Age 20-24,Total,East Melbourne,2033,430
Age 25-29,Total,East Melbourne,2033,989
Age 30-34,Total,East Melbourne,2033,1025
Age 55-59,Total,East Melbourne,2033,390
Age 60-64,Total,East Melbourne,2033,357
Age 65-69,Total,East Melbourne,2033,347
Age 70-74,Total,East Melbourne,2033,370
Age 85+,Total,East Melbourne,2033,110
Age 0-4,Total,East Melbourne,2034,242
Age 15-19,Total,East Melbourne,2034,50
Age 25-29,Total,East Melbourne,2034,996
Age 45-49,Total,East Melbourne,2034,727
Age 5-9,Total,East Melbourne,2035,113
Age 25-29,Total,East Melbourne,2035,988
Age 55-59,Total,East Melbourne,2035,405
Age 80-84,Total,East Melbourne,2035,101
Age 15-19,Total,East Melbourne,2036,48
Age 20-24,Total,East Melbourne,2036,388
Age 35-39,Total,East Melbourne,2036,1004
Age 45-49,Total,East Melbourne,2036,779
Age 50-54,Total,East Melbourne,2036,626
Age 55-59,Total,East Melbourne,2036,422
Age 65-69,Total,East Melbourne,2036,318
Age 80-84,Total,East Melbourne,2036,100
Age 85+,Total,East Melbourne,2036,154
Age 0-4,Total,East Melbourne,2037,236
Age 45-49,Total,East Melbourne,2037,815
Age 55-59,Total,East Melbourne,2037,442
Age 60-64,Total,East Melbourne,2037,370
Age 65-69,Total,East Melbourne,2037,313
Age 80-84,Total,East Melbourne,2037,96
Age 15-19,Total,East Melbourne,2038,53
Age 20-24,Total,East Melbourne,2038,369
Age 25-29,Total,East Melbourne,2038,896
Age 35-39,Total,East Melbourne,2038,994
Age 45-49,Total,East Melbourne,2038,852
Age 60-64,Total,East Melbourne,2038,383
Age 70-74,Total,East Melbourne,2038,317
Age 75-79,Total,East Melbourne,2038,202
Age 80-84,Total,East Melbourne,2038,93
Age 0-4,Total,East Melbourne,2039,228
Age 20-24,Total,East Melbourne,2039,363
Age 35-39,Total,East Melbourne,2039,960
Age 50-54,Total,East Melbourne,2039,743
Age 10-14,Total,East Melbourne,2040,70
Age 15-19,Total,East Melbourne,2040,58
Age 20-24,Total,East Melbourne,2040,355
Age 25-29,Total,East Melbourne,2040,835
Age 30-34,Total,East Melbourne,2040,900
Age 70-74,Total,East Melbourne,2040,303
Age 80-84,Total,East Melbourne,2040,89
Age 0-4,Total,East Melbourne,2041,220
Age 50-54,Total,East Melbourne,2041,804
Age 55-59,Total,East Melbourne,2041,604
Age 60-64,Total,East Melbourne,2041,413
Age 85+,Total,East Melbourne,2041,190
Age 20-24,Total,Kensington,2021,768
Age 50-54,Total,Kensington,2021,413
Age 55-59,Total,Kensington,2021,496
Age 60-64,Total,Kensington,2021,416
Age 65-69,Total,Kensington,2021,306
Age 80-84,Total,Kensington,2021,75
Age 0-4,Total,Kensington,2022,712
Age 40-44,Total,Kensington,2022,957
Age 55-59,Total,Kensington,2022,481
Age 60-64,Total,Kensington,2022,418
Age 85+,Total,Kensington,2022,49
Age 10-14,Total,Kensington,2023,385
Age 15-19,Total,Kensington,2023,183
Age 30-34,Total,Kensington,2023,1745
Age 45-49,Total,Kensington,2023,717
Age 65-69,Total,Kensington,2023,310
Age 75-79,Total,Kensington,2023,140
Age 80-84,Total,Kensington,2023,92
Age 0-4,Total,Kensington,2024,850
Age 5-9,Total,Kensington,2024,521
Age 20-24,Total,Kensington,2024,626
Age 35-39,Total,Kensington,2024,1519
Age 60-64,Total,Kensington,2024,403
Age 65-69,Total,Kensington,2024,308
Age 75-79,Total,Kensington,2024,162
Age 80-84,Total,Kensington,2024,105
Age 10-14,Total,Kensington,2025,364
Age 40-44,Total,Kensington,2025,1290
Age 45-49,Total,Kensington,2025,804
Age 55-59,Total,Kensington,2025,485
Age 70-74,Total,Kensington,2025,263
Age 75-79,Total,Kensington,2025,210
Age 5-9,Total,Kensington,2026,570
Age 10-14,Total,Kensington,2026,360
Age 30-34,Total,Kensington,2026,2096
Age 35-39,Total,Kensington,2026,1742
Age 45-49,Total,Kensington,2026,849
Age 75-79,Total,Kensington,2026,229
Age 80-84,Total,Kensington,2026,118
Age 85+,Total,Kensington,2026,58
Age 25-29,Total,Kensington,2027,1729
Age 30-34,Total,Kensington,2027,2087
Age 35-39,Total,Kensington,2027,1871
Age 50-54,Total,Kensington,2027,485
Age 55-59,Total,Kensington,2027,479
Age 65-69,Total,Kensington,2027,305
Age 70-74,Total,Kensington,2027,257
Age 75-79,Total,Kensington,2027,242
Age 80-84,Total,Kensington,2027,155
Age 0-4,Total,Kensington,2028,1190
Age 5-9,Total,Kensington,2028,775
Age 55-59,Total,Kensington,2028,488
Age 75-79,Total,Kensington,2028,253
Age 80-84,Total,Kensington,2028,161
